sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,bInterval,cInterval,new_user,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not orderable,availability_ mainly orderable,availability_ mixed
5,18,7,48.145,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2.0,600.0,543.0,39.0,2.0,53.0,2.0,234.0,0.03334444814938313,0.03334444814938313,0.0,0.0,0,1,0,1,0,0,0,0
11,18,7,4399.213,50,5.0,39.9,864.27,9,12.99,19.99,129.91,1.0,4000.0,547.0,217.0,3.0,48.0,2.0,146.0,0.02144542140253056,0.02144542140253056,39.96000000000001,39.96000000000001,0,1,0,0,0,0,1,0
12,18,7,1150.028,46,7.0,29.99,854.55,2,9.99,19.99,29.98,5.0,2400.0,532.0,219.0,26.0,46.0,2.0,24.0,0.0582371278818814,0.05002501250625314,0.0,5.989999999999998,0,1,0,1,0,0,0,0
13,18,7,1033.142,11,14.99,49.99,354.89,2,29.99,49.99,79.98,5.0,3000.0,516.0,243.0,10.0,62.0,1.0,64.0,0.06951722283945302,0.05772561092938232,20.0,20.0,0,1,0,1,0,0,0,0
15,18,7,8433.742,100,4.99,199.99,9460.51,4,4.99,149.99,214.88,1.0,600.0,558.0,106.0,4.0,47.0,2.0,131.0,0.027033216837380938,0.028418812093654492,41.96000000000001,41.96000000000001,0,1,0,1,0,0,0,0
17,18,7,3903.4159999999997,30,3.0,699.99,3241.86,2,79.99,399.99,479.98,5.0,4000.0,493.0,341.0,19.0,73.0,2.0,32.0,0.0449578944278115,0.05081535547650945,32.99,162.95,0,1,0,1,0,0,0,0
19,18,7,192.97,10,14.0,19.99,175.94,2,19.99,19.99,39.98,4.0,0.0,384.0,178.0,9.0,35.0,2.0,7.0,0.048595031872623845,0.05336179295624333,9.999999999999998,9.999999999999998,0,1,0,1,0,0,0,0
23,18,7,2798.5440000000003,40,4.99,24.99,567.69,6,4.99,24.99,102.94,5.0,3600.0,588.0,357.0,10.0,61.0,1.0,24.0,0.04705479745048551,0.04705479745048551,49.96,49.96,0,1,0,1,0,0,0,0
31,18,7,2874.579,31,17.99,59.95,1177.37,7,17.99,59.95,255.89,5.0,2700.0,603.0,231.0,5.0,48.0,1.0,129.0,0.08616637944540186,0.07818608287724785,5.0,20.99,0,1,0,1,0,0,0,0
34,18,7,1264.035,47,5.95,799.99,3561.79,7,5.95,799.99,1037.77,2.0,1600.0,436.0,27.0,29.0,51.0,2.0,52.0,0.02372840107082015,0.02371200689803837,195.0,195.0,0,1,0,1,0,0,0,0
36,18,7,314.765,8,14.99,24.99,169.92,2,14.99,24.99,39.98,4.0,2500.0,558.0,224.0,7.0,57.0,1.0,82.0,0.6265664160401002,0.2506265664160401,0.0,0.0,0,1,0,1,0,0,0,0
38,18,7,889.2510000000001,14,39.99,129.99,1394.86,1,129.99,129.99,129.99,5.0,1400.0,467.0,53.0,8.0,45.0,2.0,54.0,0.09074630735450206,0.08006405124099279,5.0,96.97,0,1,0,1,0,0,0,0
40,18,7,211.343,10,19.99,24.99,224.9,2,19.99,24.99,44.98,5.0,1100.0,461.0,76.0,13.0,38.0,2.0,9.0,0.09761865478743882,0.0720691864189622,12.989999999999998,15.999999999999998,0,1,0,1,0,0,0,0
49,18,7,327.907,9,14.99,29.99,209.91,4,14.99,29.99,89.96,5.0,4000.0,583.0,228.0,5.0,43.0,2.0,99.0,0.09926937738246504,0.06784260515603797,23.0,23.0,0,1,0,1,0,0,0,0
51,18,7,8169.485,81,9.99,49.99,2509.76,8,12.99,49.99,248.92,5.0,1700.0,542.0,210.0,8.0,49.0,2.0,19.0,0.007778382763103797,0.025006251562890724,0.0,240.0,0,1,0,1,0,0,0,0
58,18,7,2220.123,39,17.95,399.99,1100.39,11,17.95,39.99,240.81,1.0,600.0,550.0,133.0,4.0,40.0,1.0,26.0,0.043840308142083735,0.08718643010554518,9.999999999999998,75.0,0,1,0,1,0,0,0,0
81,18,7,678.913,4,59.99,69.95,269.84,1,69.95,69.95,69.95,5.0,300.0,443.0,90.0,14.0,44.0,2.0,17.0,0.08407666345226614,0.07698229407236337,4.0,39.0,0,1,0,1,0,0,0,0
93,18,7,1481.414,12,3.99,449.99,2127.88,3,3.99,179.99,353.97,5.0,800.0,477.0,342.0,10.0,59.0,2.0,36.0,0.11179139476388224,0.07217967420374422,26.0,27.0,0,1,0,1,0,0,0,0
97,18,7,396.031,17,39.99,79.95,1010.51,1,39.99,39.99,39.99,4.0,300.0,477.0,8.0,4.0,34.0,1.0,22.0,0.01732184916659979,0.02140332743436748,166.0,169.0,0,1,0,1,0,0,0,0
102,18,7,1345.165,4,99.99,99.99,399.96,1,99.99,99.99,99.99,1.0,500.0,441.0,88.0,19.0,26.0,1.0,72.0,0.12805001008267797,0.12857142857142856,5.0,26.99,0,1,0,1,0,0,0,0
104,18,7,2731.407,46,29.99,169.95,2968.61,8,99.95,99.95,799.6,1.0,4000.0,558.0,203.0,22.0,39.0,2.0,13.0,0.044662795891022775,0.051750905640848714,2.0,32.0,0,1,0,0,1,0,0,0
105,18,7,723.4689999999999,11,3.99,44.99,247.89,8,3.99,25.99,154.92,5.0,4000.0,562.0,268.0,10.0,52.0,1.0,13.0,0.04333560329350585,0.039244118370903476,35.0,37.0,0,1,0,1,0,0,0,0
107,18,7,600.563,8,7.99,9.99,49.94,2,7.99,7.99,15.98,5.0,600.0,498.0,263.0,25.0,23.0,1.0,26.0,0.016680567139282735,0.016680567139282735,0.0,0.0,0,1,0,1,0,0,0,0
112,18,7,4312.445,7,39.99,279.99,899.93,1,39.99,39.99,39.99,3.0,100.0,517.0,3.0,1.0,34.0,1.0,110.0,0.02381330369899984,0.015875535799333228,0.0,0.0,0,1,0,1,0,0,0,0
114,18,7,84.277,3,9.99,14.99,39.97,3,9.99,14.99,39.97,1.0,1500.0,479.0,78.0,15.0,35.0,2.0,39.0,0.029731586007255426,0.10010010010010009,0.0,80.0,0,1,0,0,1,0,0,0
127,18,7,12.762,1,659.99,659.99,659.99,1,659.99,659.99,659.99,1.0,500.0,525.0,9.0,5.0,65.0,1.0,174.0,0.12031376313662083,0.08670124576000486,7.999999999999998,34.99,0,1,0,1,0,0,0,0
130,18,7,1729.51,33,9.99,89.99,1006.72,3,9.99,69.99,109.97,1.0,1500.0,552.0,369.0,0.0,55.0,2.0,210.0,0.12381748867721652,0.08804040591260832,13.999999999999998,15.999999999999998,0,1,0,0,1,0,0,0
131,18,7,4567.48,76,4.99,79.99,1696.02,10,9.99,19.99,112.9,5.0,3900.0,576.0,253.0,17.0,48.0,2.0,24.0,0.09410039588556121,0.08928748586281472,8.959999999999999,16.04,0,1,0,1,0,0,0,0
132,18,7,1488.349,21,0.99,269.99,1961.9,1,269.99,269.99,269.99,5.0,300.0,513.0,1.0,0.0,44.0,1.0,6.0,0.04701048481875978,0.0737230121116377,10.01,25.0,0,1,0,1,0,0,0,0
134,18,7,3397.627,2,19.99,29.99,49.98,1,19.99,19.99,19.99,5.0,800.0,505.0,140.0,22.0,32.0,2.0,24.0,0.07112493176968752,0.0555864369093941,0.0,12.999999999999998,0,1,0,1,0,0,0,0
137,18,7,2424.1620000000003,23,12.99,199.99,571.31,1,14.99,14.99,14.99,2.0,600.0,581.0,51.0,9.0,25.0,1.0,63.0,0.058089424654946445,0.1405317871734498,6.99,1597.0,0,1,0,1,0,0,0,0
142,18,7,2104.6679999999997,49,3.99,12.99,202.85,8,3.99,12.99,47.95,5.0,3100.0,512.0,346.0,30.0,61.0,2.0,14.0,0.03175548278257418,0.05197505197505198,33.0,495.99,0,1,0,1,0,0,0,0
149,18,7,6347.2519999999995,46,3.0,99.99,844.14,3,14.99,24.99,59.97,1.0,2300.0,494.0,270.0,21.0,45.0,2.0,11.0,0.06996514943499842,0.06582845105654664,22.99,22.99,0,1,0,1,0,0,0,0
157,18,7,2658.861,27,9.99,29.99,605.73,4,9.99,29.99,79.96,1.0,600.0,454.0,38.0,10.0,47.0,2.0,31.0,0.03335622486019817,0.03334444814938313,0.0,20.090000000000003,0,1,0,1,0,0,0,0
162,18,7,590.002,12,7.99,39.95,240.81,12,7.99,39.95,240.81,5.0,4000.0,557.0,202.0,11.0,43.0,2.0,102.0,0.06727211570803902,0.07147962830593281,26.0,26.0,0,1,0,1,0,0,0,0
163,18,7,1422.0629999999999,12,12.99,199.99,1659.88,1,199.99,199.99,199.99,1.0,1600.0,530.0,100.0,5.0,53.0,2.0,229.0,0.0568885319412375,0.05917478078433482,14.999999999999998,14.999999999999998,0,1,0,1,0,0,0,0
174,18,7,3067.637,53,4.99,59.95,833.46,9,7.99,29.99,131.92,5.0,1000.0,483.0,57.0,12.0,29.0,2.0,139.0,0.0729827686446234,0.061590576641773816,35.04,45.04,0,1,0,1,0,0,0,0
176,18,7,3472.616,12,3.99,449.99,1037.88,5,3.99,449.99,503.95,5.0,2000.0,509.0,209.0,17.0,51.0,1.0,12.0,0.05015280934096073,0.036255528968167645,51.96,55.96,0,1,0,1,0,0,0,0
177,18,7,6410.611999999999,60,9.99,170.0,3242.7,5,9.99,39.99,107.95,1.0,800.0,482.0,51.0,15.0,27.0,2.0,31.0,0.0168449423060726,0.014287755393627663,0.0,54.99999999999999,0,1,0,1,0,0,0,0
178,18,7,1968.652,28,59.0,75.95,311.95,1,59.0,59.0,59.0,5.0,3700.0,492.0,223.0,20.0,55.0,2.0,5.0,0.12227656736327254,0.05002501250625312,0.0,10.0,0,1,0,1,0,0,0,0
179,18,7,365.721,3,9.99,24.99,59.97,1,24.99,24.99,24.99,4.0,8500.0,523.0,168.0,113.0,39.0,2.0,8.0,0.15397775876817793,0.12915724895059735,6.0,6.0,0,1,0,1,0,0,0,0
180,18,7,828.0319999999999,20,12.99,99.95,469.7,16,12.99,99.95,410.74,3.0,2700.0,564.0,219.0,12.0,45.0,2.0,84.0,0.08071025020177562,0.08071025020177562,8.0,8.0,0,1,0,1,0,0,0,0
181,18,7,2050.837,78,9.99,89.95,3287.94,7,14.99,49.95,258.85,5.0,300.0,533.0,7.0,0.0,29.0,2.0,19.0,0.03365870077415012,0.05002501250625313,0.0,61.99999999999999,0,1,0,1,0,0,0,0
182,18,7,135.61700000000002,3,49.99,49.99,149.97,1,49.99,49.99,49.99,5.0,2900.0,568.0,250.0,21.0,46.0,2.0,10.0,0.04806406894025684,0.03420006058296445,4.039999999999999,46.0,0,1,0,1,0,0,0,0
183,18,7,2421.574,165,9.99,199.0,10093.09,8,49.95,79.95,499.6,5.0,4000.0,538.0,203.0,22.0,50.0,1.0,7.0,0.09027007029226783,0.10301221938050584,12.81,13.999999999999998,0,1,0,1,0,0,0,0
188,18,7,4643.575,200,2.99,29.99,1812.06,10,3.99,29.99,134.91,5.0,4000.0,542.0,185.0,12.0,41.0,2.0,40.0,0.02869185559726028,0.04110005182180447,49.96,89.96000000000001,0,1,0,1,0,0,0,0
197,18,7,12316.313,66,0.99,169.99,3801.26,7,3.99,169.99,319.93,5.0,300.0,550.0,85.0,3.0,68.0,1.0,137.0,0.013941337277317443,0.014287755393627666,49.99999999999999,70.0,0,1,0,1,0,0,0,0
204,18,7,1290.537,11,1.0,59.95,194.82,5,3.99,59.95,68.93,5.0,1200.0,543.0,83.0,21.0,25.0,2.0,90.0,0.1001001001001001,0.1001001001001001,0.0,0.0,0,0,0,1,0,0,0,0
213,18,7,6286.581999999999,158,5.0,69.99,3383.96,8,9.99,29.99,164.74,3.0,4000.0,508.0,105.0,10.0,35.0,2.0,7.0,0.04817228676678946,0.020004000800160033,0.0,73.0,0,1,0,1,0,0,0,0
214,18,7,734.288,10,17.99,49.99,223.9,3,17.99,19.99,57.97,5.0,800.0,571.0,216.0,5.0,57.0,1.0,80.0,0.04162088568289303,0.040032025620496396,29.96,35.96,0,1,0,1,0,0,0,0
215,18,7,5819.204000000001,23,7.99,44.99,549.77,9,9.99,44.99,247.91,3.0,12000.0,529.0,124.0,17.0,51.0,2.0,67.0,0.0362948671416837,0.04328587918430165,49.01,74.96000000000001,0,1,0,1,0,0,0,0
229,18,7,120.399,3,62.99,62.99,125.98,1,62.99,62.99,62.99,5.0,2200.0,511.0,223.0,6.0,51.0,2.0,12.0,0.07147962830593282,0.07304601899196493,10.999999999999998,13.999999999999998,0,1,0,1,0,0,0,0
230,18,7,3355.7290000000003,16,9.99,59.99,269.91,5,9.99,29.99,99.95,5.0,4000.0,598.0,324.0,28.0,52.0,2.0,9.0,0.07698229407236336,0.07698229407236336,0.0,0.0,0,1,0,1,0,0,0,0
239,18,7,183.916,2,699.0,699.0,1398.0,1,699.0,699.0,699.0,5.0,600.0,424.0,34.0,13.0,33.0,2.0,472.0,0.06986223569206335,0.020004000800160033,0.0,55.0,0,1,0,1,0,0,0,0
240,18,7,3391.145,20,3.99,249.99,1288.23,5,3.99,249.99,308.96,5.0,2800.0,522.0,267.0,10.0,43.0,2.0,246.0,0.057670522810751426,0.05068647111973025,26.0,46.0,0,1,0,1,0,0,0,0
243,18,7,1053.637,3,74.99,99.99,274.97,1,99.99,99.99,99.99,1.0,2500.0,545.0,340.0,3.0,53.0,2.0,117.0,0.057175528873642086,0.057175528873642086,4.999999999999998,4.999999999999998,0,1,0,1,0,0,0,0
244,18,7,582.063,6,39.99,469.99,1119.94,3,39.99,469.99,559.97,1.0,2900.0,535.0,67.0,68.0,38.0,1.0,162.0,0.037511722413254144,0.03334444814938313,0.0,19.99,0,1,0,1,0,0,0,0
245,18,7,3886.716,80,3.0,59.95,1233.78,3,7.0,59.95,76.95,5.0,25000.0,521.0,221.0,82.0,70.0,1.0,6.0,0.06500301914849269,0.06651317472499362,11.0,73.05,0,1,0,1,0,0,0,0
250,18,7,771.255,32,14.99,29.99,617.69,10,14.99,29.99,199.9,2.0,300.0,443.0,79.0,1.0,32.0,2.0,68.0,0.004899605600261542,0.0651587079959043,21.0,1696.0,0,1,0,1,0,0,0,0
252,18,7,398.213,6,10.99,79.99,188.94,6,10.99,79.99,188.94,5.0,4000.0,80.0,224.0,1.0,49.0,1.0,42.0,0.10010010010010009,0.10010010010010009,0.0,0.0,0,1,0,1,0,0,0,0
255,18,7,1241.052,28,5.0,39.99,233.82,5,9.99,17.99,57.95,5.0,600.0,614.0,263.0,5.0,49.0,2.0,72.0,0.05558643690939411,0.05558643690939411,0.0,0.0,0,1,0,1,0,0,0,0
256,18,7,2355.24,12,22.99,399.99,1088.88,4,22.99,399.99,482.96,5.0,2500.0,514.0,204.0,6.0,51.0,2.0,21.0,0.14306151645207438,0.14306151645207438,6.0,6.0,0,1,0,1,0,0,0,0
257,18,7,164.226,2,29.99,29.99,59.98,1,29.99,29.99,29.99,5.0,4000.0,524.0,223.0,19.0,46.0,1.0,31.0,0.2502502502502503,0.10010010010010009,0.0,0.0,0,1,0,1,0,0,0,0
258,18,7,2856.2009999999996,25,3.99,19.99,205.32,2,3.99,17.99,21.98,1.0,6200.0,542.0,110.0,13.0,38.0,2.0,9.0,0.03923107100823853,0.03923107100823853,36.0,36.0,0,1,0,1,0,0,0,0
261,18,7,1778.6979999999999,51,9.99,34.99,1084.61,7,9.99,20.0,94.95,5.0,3000.0,557.0,223.0,9.0,57.0,2.0,22.0,0.005876917752536053,0.07341292840307563,15.999999999999998,2796.0,0,1,0,1,0,0,0,0
265,18,7,126.51899999999999,3,39.99,39.99,79.98,1,39.99,39.99,39.99,5.0,1700.0,522.0,221.0,16.0,44.0,2.0,62.0,0.054855808194792924,0.053266894369876465,17.04,27.040000000000003,0,1,0,1,0,0,0,0
266,19,7,254.002,14,8.99,9.99,136.86,2,8.99,9.99,18.98,5.0,4000.0,525.0,321.0,5.0,54.0,2.0,175.0,0.10005002501250626,0.05002501250625313,0.0,0.0,0,1,0,1,0,0,0,0
267,19,7,3673.11,200,2.99,1599.99,3308.7,7,3.0,9.99,50.92,1.0,200.0,499.0,9.0,6.0,52.0,1.0,141.0,0.0870556206274336,0.17657445556209536,11.99,39.99,0,1,0,1,0,0,0,0
276,19,7,1162.83,32,4.0,499.99,1007.7,4,6.99,39.99,76.96,5.0,600.0,581.0,122.0,5.0,58.0,1.0,115.0,0.1188822277231383,0.09492425353264852,6.0,17.0,0,1,0,1,0,0,0,0
279,19,7,510.923,19,9.99,49.99,388.83,7,9.99,49.99,132.94,5.0,4000.0,594.0,191.0,7.0,49.0,2.0,30.0,0.00697723096960253,0.006667111140742716,0.0,20.0,0,1,0,1,0,0,0,0
286,19,7,256.41200000000003,6,699.99,1099.99,3799.96,1,1099.99,1099.99,1099.99,1.0,600.0,436.0,39.0,16.0,71.0,2.0,19.0,0.09231255086300087,0.2506265664160401,0.0,15.999999999999998,0,1,0,1,0,0,0,0
289,19,7,1971.5120000000002,14,3.99,12.99,141.87,4,3.99,12.99,26.97,1.0,600.0,543.0,21.0,3.0,24.0,2.0,10.0,0.037547604999195405,0.03775009437523594,27.0,61.99999999999999,0,1,0,0,1,0,0,0
305,19,7,283.317,5,34.99,39.99,189.95,1,34.99,34.99,34.99,5.0,4000.0,543.0,191.0,9.0,74.0,2.0,213.0,0.05145503401749471,0.057175528873642086,4.999999999999998,14.999999999999998,0,1,0,1,0,0,0,0
308,19,7,10073.26,91,4.99,34.99,1287.16,11,7.99,34.99,161.89,1.0,600.0,70.0,10.0,1.0,36.0,2.0,318.0,0.04782244117184634,0.04830917874396134,56.0,76.0,0,1,0,1,0,0,0,0
316,19,7,1131.075,17,19.9,39.99,509.65,1,29.99,29.99,29.99,1.0,600.0,70.0,223.0,1.0,53.0,2.0,355.0,0.08219476348592894,0.08239715428364719,13.999999999999998,13.999999999999998,0,1,0,1,0,0,0,0
318,19,7,2051.831,21,19.99,549.99,3379.8,1,179.99,179.99,179.99,5.0,7500.0,524.0,356.0,14.0,55.0,2.0,7.0,0.008297862016491452,0.0625379694814709,46.0,256.0,0,1,0,1,0,0,0,0
321,19,7,1149.556,35,5.0,21.0,368.74,5,6.95,12.99,46.93,1.0,200.0,70.0,146.0,0.0,46.0,2.0,33.0,0.02074990143796817,0.022393073076061806,96.0,96.0,0,1,0,1,0,0,0,0
327,19,7,1533.146,34,9.99,24.99,597.66,11,9.99,24.99,185.89,5.0,600.0,511.0,221.0,10.0,40.0,1.0,173.0,0.08113012404857899,0.0804667069000201,7.999999999999998,7.999999999999998,0,1,0,1,0,0,0,0
328,19,7,136.85399999999998,9,19.99,19.99,159.92,2,19.99,19.99,39.98,2.0,4000.0,531.0,223.0,4.0,59.0,2.0,7.0,0.0555864369093941,0.0555864369093941,0.0,0.0,0,1,0,1,0,0,0,0
329,19,7,1144.444,21,7.0,39.99,412.82,10,7.99,39.99,240.9,5.0,16000.0,566.0,366.0,36.0,71.0,2.0,5.0,0.0025862737829426626,0.0021505838835243775,370.0,420.0,0,1,0,1,0,0,0,0
332,19,7,639.7959999999999,14,6.99,29.99,179.86,3,6.99,29.99,43.97,5.0,4000.0,574.0,220.0,8.0,41.0,2.0,23.0,0.058322565677331226,0.044964028776978415,22.5,35.0,0,1,0,1,0,0,0,0
344,19,7,4974.52,122,3.0,29.95,977.54,9,3.0,14.99,72.96,5.0,6500.0,578.0,213.0,9.0,36.0,2.0,84.0,0.002000040000800016,0.002000040000800016,0.0,0.0,0,1,0,1,0,0,0,0
354,19,7,84.096,8,14.99,69.99,474.92,1,69.99,69.99,69.99,1.0,1300.0,497.0,250.0,14.0,40.0,2.0,14.0,0.05002501250625313,0.05002501250625313,0.0,0.0,0,1,1,0,0,0,0,0
355,19,7,1765.2720000000002,11,19.99,29.99,89.96,1,19.99,19.99,19.99,4.0,300.0,563.0,111.0,2.0,34.0,2.0,55.0,0.011216161829421971,0.013657470636438131,242.04000000000002,242.04000000000002,0,1,0,1,0,0,0,0
362,19,7,2608.029,50,3.99,49.99,1052.06,6,25.95,29.99,175.9,2.0,800.0,556.0,58.0,6.0,32.0,2.0,154.0,0.10107334525939177,0.08823529411764706,5.0,10.0,0,1,0,1,0,0,0,0
364,19,7,2824.755,22,3.99,17.99,247.94,5,3.99,16.8,49.72,5.0,300.0,574.0,85.0,8.0,52.0,2.0,51.0,0.06499948684615647,0.06525995214270176,46.0,46.0,0,1,0,1,0,0,0,0
367,19,7,1357.3429999999998,17,10.92,74.99,645.77,3,29.99,74.99,134.97,1.0,1400.0,571.0,140.0,5.0,47.0,2.0,58.0,0.29772537811123023,0.06821282401091405,36.0,36.0,0,1,0,1,0,0,0,0
368,19,7,410.18199999999996,14,12.99,49.99,405.63,14,12.99,49.99,405.63,5.0,3400.0,491.0,361.0,31.0,54.0,2.0,6.0,0.04731967822618805,0.04731967822618805,14.999999999999998,14.999999999999998,0,1,0,1,0,0,0,0
369,19,7,497.027,6,12.99,51.99,162.45,2,12.99,51.99,64.98,5.0,2700.0,564.0,342.0,11.0,57.0,2.0,34.0,0.04664179104477613,0.015556938394523961,31.07999999999999,68.83,0,1,0,1,0,0,0,0
371,19,7,7136.124,56,15.0,79.99,1394.67,9,19.99,59.99,304.91,5.0,1000.0,597.0,49.0,7.0,42.0,2.0,138.0,0.07362109803362286,0.07274803396136066,33.0,33.0,0,1,0,1,0,0,0,0
372,19,7,12200.627,36,9.99,99.95,1234.21,6,9.99,59.95,144.9,5.0,600.0,508.0,220.0,11.0,52.0,2.0,12.0,0.024446429410935076,0.03968253968253969,0.0,205.0,0,1,0,1,0,0,0,0
373,19,7,3382.585,42,5.99,22.99,519.4,6,9.99,22.99,106.9,5.0,600.0,569.0,207.0,6.0,50.0,2.0,28.0,0.03466345859755724,0.03841207809342485,20.000000000000004,33.0,0,1,0,1,0,0,0,0
374,19,7,1955.139,33,8.99,20.99,218.83,5,8.99,14.99,56.95,5.0,1900.0,489.0,220.0,18.0,59.0,2.0,32.0,0.06956153282545176,0.07320858590295468,20.0,20.0,0,1,0,1,0,0,0,0
410,19,7,628.668,19,10.99,139.0,516.91,5,12.0,139.0,215.97,5.0,2500.0,523.0,158.0,16.0,56.0,1.0,38.0,0.06002400960384154,0.040016006402561026,10.0,10.0,0,1,0,1,0,0,0,0
411,19,7,879.623,10,14.99,19.99,184.9,3,14.99,19.99,54.97,5.0,2900.0,532.0,87.0,24.0,30.0,2.0,6.0,0.044055635974573605,0.044055635974573605,40.0,40.0,0,1,0,1,0,0,0,0
416,19,7,475.519,10,14.99,249.99,819.91,3,14.99,69.99,154.97,1.0,3000.0,517.0,320.0,10.0,70.0,2.0,128.0,0.010999962238935599,0.006876278558044386,239.0,575.0,0,1,0,1,0,0,0,0
417,19,7,297.944,3,9.99,29.99,57.97,3,9.99,29.99,57.97,5.0,1500.0,596.0,221.0,9.0,57.0,2.0,97.0,0.09438414346389806,0.08006405124099279,5.0,7.99,0,1,0,1,0,0,0,0
418,19,7,512.0840000000001,16,12.0,27.99,262.95,1,12.0,12.0,12.0,1.0,800.0,563.0,158.0,8.0,41.0,2.0,4.0,0.06775774001876368,0.07698229407236336,0.0,76.96000000000001,0,1,0,1,0,0,0,0
