,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,bInterval,cInterval,new_user,onlineStatus_ n,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not orderable,availability_ mainly orderable,availability_ mixed
0,1,18,7,624.606,11,16.99,39.99,207.91,5,16.99,39.99,112.95,1.0,1300.0,489.0,188.0,5.0,49.0,1.0,65.0,0.05114086154837715,0.04050222762251924,23.000000000000004,23.000000000000004,0,0,1,0,1,0,0,0,0
1,2,18,7,2804.705,16,34.99,34.99,174.95,2,34.99,34.99,69.98,1.0,1200.0,543.0,43.0,5.0,29.0,2.0,184.0,0.09498512179950573,0.028579594169762787,0.0,0.0,0,0,1,0,1,0,0,0,0
2,3,18,7,7401.384,119,7.99,59.95,3263.57,12,12.49,39.95,346.56,1.0,600.0,552.0,17.0,4.0,37.0,2.0,107.0,0.03654899367430558,0.03432459109336629,27.46,51.96,0,0,1,0,1,0,0,0,0
3,4,18,7,2853.55,152,3.99,239.99,5642.5,4,9.99,14.99,44.96,1.0,8500.0,535.0,226.0,19.0,49.0,2.0,17.0,0.025999357803880973,0.08896797153024912,5.0,236.0,0,0,0,0,0,1,0,0,0
4,5,18,7,48.145,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2.0,600.0,543.0,39.0,2.0,53.0,2.0,234.0,0.03334444814938313,0.03334444814938313,0.0,0.0,0,0,1,0,1,0,0,0,0
5,6,18,7,3464.238,51,7.99,39.99,449.34,3,7.99,10.99,28.97,1.0,4000.0,513.0,352.0,9.0,82.0,1.0,28.0,0.11291351342033132,0.09845749917952085,3.0,32.0,0,0,0,0,0,1,0,0,0
6,7,18,7,482.11199999999997,8,14.99,19.99,129.92,2,14.99,14.99,29.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0628966779118303,0.066711140760507,0.0,4.999999999999998,0,0,1,0,1,0,0,0,0
7,8,18,7,1844.763,40,8.99,99.99,648.74,2,12.99,14.99,27.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.060678616527543174,0.06981615080288574,2.0,91.0,0,0,0,0,0,1,0,0,0
8,9,18,7,68.59899999999999,4,59.99,79.99,299.96,1,79.99,79.99,79.99,1.0,1500.0,433.0,73.0,14.0,65.0,2.0,4.0,0.013335111348179758,0.012501562695336917,0.0,19.999999999999993,0,0,0,0,0,1,0,0,0
9,10,18,7,5852.879,149,5.0,39.99,891.32,5,7.99,19.99,60.95,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.16383610121366937,0.08182044562497776,11.999999999999998,34.99,0,0,1,0,1,0,0,0,0
