sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,cInterval,bInterval,new_user,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not determinable,availability_ mainly orderable,availability_ mixed,order_ y
12.0,6.0,5.0,1540.895,21.0,5.99,59.99,456.77,11.0,5.99,59.99,258.38,5.0,2000.0,546.0,364.0,11.0,86.0,2.0,37.0,0.016669445,0.016669445,0.0,0.0,0,1,0,1,0,0,0,0,1
20.0,6.0,5.0,7647.51,11.0,49.99,499.99,2199.91,1.0,49.99,49.99,49.99,1.0,1400.0,568.0,136.0,11.0,58.0,2.0,61.0,0.10004548,0.050025012,20.0,20.0,0,1,0,0,1,0,0,0,0
21.0,6.0,5.0,152.401,3.0,14.99,14.99,44.97,1.0,14.99,14.99,14.99,5.0,2500.0,540.0,222.0,34.0,51.0,2.0,23.0,0.041143987,0.03863241,166.95999,7.8600006,0,1,0,1,0,0,0,0,1
28.0,6.0,5.0,660.6439999999999,23.0,14.99,33.99,617.77,3.0,24.99,29.99,84.97,5.0,600.0,427.0,141.0,8.0,31.0,2.0,109.0,0.10519308,0.33333334,37.0,0.0,0,1,0,1,0,0,0,0,1
32.0,6.0,5.0,454.355,5.0,139.99,139.99,699.95,1.0,139.99,139.99,139.99,5.0,500.0,499.0,2.0,1.0,53.0,2.0,22.0,0.045463953,0.04361977,54.0,54.0,0,1,0,1,0,0,0,0,1
37.0,6.0,5.0,420.19699999999995,11.0,5.0,24.99,146.92,11.0,5.0,24.99,146.92,1.0,4000.0,614.0,133.0,6.0,42.0,2.0,109.0,0.035012256,0.033344448,10.0,0.0,0,1,0,1,0,0,0,0,0
40.0,6.0,5.0,584.185,13.0,14.99,79.99,294.91,1.0,29.99,29.99,29.99,1.0,5000.0,535.0,220.0,14.0,68.0,1.0,12.0,0.11209599,0.10147476,34.190002,18.0,0,1,0,0,1,0,0,0,0
47.0,6.0,5.0,24.326999999999998,1.0,12.99,12.99,12.99,1.0,12.99,12.99,12.99,1.0,600.0,512.0,36.0,7.0,35.0,2.0,59.0,0.005000205,0.020003999,450.0,0.0,0,1,0,0,1,0,0,0,0
58.0,6.0,5.0,2230.275,46.0,24.99,79.95,1643.53,6.0,24.99,71.96,261.91,1.0,200.0,70.0,92.0,1.0,43.0,2.0,493.0,0.06671114,0.06671114,0.0,0.0,0,1,0,0,1,0,0,0,0
68.0,6.0,5.0,599.78,12.0,49.95,120.0,899.74,2.0,49.95,89.99,139.94,1.0,600.0,422.0,60.0,0.0,33.0,2.0,72.0,0.2183958,0.12522174,15.0,6.99,0,1,0,1,0,0,0,0,0
69.0,6.0,5.0,397.89599999999996,10.0,19.99,19.99,159.92,2.0,19.99,19.99,39.98,5.0,1400.0,520.0,209.0,2.0,44.0,2.0,220.0,0.036052447,0.034494653,19.000002,5.0,0,1,0,1,0,0,0,0,1
76.0,6.0,5.0,4047.27,36.0,2.99,5.99,104.69,4.0,2.99,2.99,11.96,5.0,900.0,493.0,174.0,13.0,35.0,2.0,10.0,0.04298386,0.034494653,25.000002,2.0,0,1,0,1,0,0,0,0,1
87.0,6.0,5.0,55.09,4.0,7.99,9.99,37.96,4.0,7.99,9.99,37.96,2.0,600.0,426.0,35.0,13.0,25.0,2.0,19.0,0.007143367,0.0071433666,0.0,0.0,0,1,0,1,0,0,0,0,0
90.0,6.0,5.0,4093.928,70.0,29.99,180.0,4928.13,6.0,49.99,150.0,449.83,5.0,3200.0,518.0,250.0,36.0,59.0,2.0,38.0,0.043421622,0.03961965,32.0,27.000002,0,1,0,1,0,0,0,0,1
99.0,6.0,5.0,261.047,6.0,16.99,18.99,107.94,2.0,16.99,18.99,35.98,1.0,2300.0,527.0,51.0,15.0,29.0,2.0,11.0,0.07487068,0.07487068,19.99,19.99,0,1,0,0,1,0,0,0,0
114.0,6.0,5.0,18.583,1.0,199.99,199.99,199.99,1.0,199.99,199.99,199.99,1.0,600.0,501.0,15.0,6.0,50.0,1.0,40.0,0.044457916,0.033344448,65.0,0.0,0,1,0,0,1,0,0,0,0
134.0,6.0,5.0,320.127,5.0,12.99,14.99,68.95,3.0,12.99,14.99,40.97,5.0,1300.0,522.0,223.0,12.0,56.0,2.0,34.0,0.0581374,0.07614489,25.960001,16.0,0,1,0,1,0,0,0,0,1
138.0,6.0,5.0,949.557,3.0,39.99,39.99,119.97,1.0,39.99,39.99,39.99,5.0,5500.0,542.0,143.0,11.0,62.0,1.0,22.0,0.052916516,0.055648305,17.97,15.960001,0,1,0,1,0,0,0,0,1
140.0,6.0,5.0,55.728,2.0,49.95,49.95,99.9,2.0,49.95,49.95,99.9,1.0,1000.0,614.0,14.0,8.0,44.0,2.0,11.0,0.0769823,0.0769823,0.0,0.0,0,1,0,0,1,0,0,0,0
145.0,6.0,5.0,2151.525,25.0,7.99,799.99,3707.78,6.0,39.99,799.99,894.97,5.0,2300.0,472.0,142.0,16.0,29.0,1.0,23.0,0.020837674,0.020837674,0.0,0.0,0,1,0,1,0,0,0,0,0
151.0,6.0,5.0,281.455,6.0,29.99,29.99,59.98,1.0,29.99,29.99,29.99,5.0,3000.0,583.0,175.0,12.0,44.0,2.0,24.0,0.028012922,0.022908634,54.96,46.97,0,1,0,1,0,0,0,0,1
157.0,6.0,5.0,815.32,22.0,12.99,19.99,306.78,3.0,12.99,12.99,38.97,5.0,2600.0,496.0,66.0,15.0,32.0,1.0,34.0,0.016669445,0.016669445,0.0,0.0,0,1,0,1,0,0,0,0,1
158.0,6.0,5.0,128.6,4.0,3.99,49.99,103.97,2.0,3.99,49.99,53.98,5.0,2900.0,498.0,174.0,15.0,41.0,2.0,11.0,0.03785216,0.03785216,50.0,50.0,0,1,0,1,0,0,0,0,1
159.0,6.0,5.0,111.351,4.0,17.99,49.99,117.97,1.0,49.99,49.99,49.99,3.0,500.0,559.0,100.0,9.0,38.0,1.0,13.0,0.013337187,0.014291839,70.05,40.039997,0,1,0,1,0,0,0,0,0
161.0,6.0,5.0,905.1419999999999,54.0,5.0,29.99,895.29,9.0,12.49,29.99,162.91,5.0,3500.0,533.0,228.0,13.0,39.0,2.0,34.0,0.06253126,0.050025012,0.0,0.0,0,1,0,1,0,0,0,0,1
178.0,6.0,5.0,1375.4389999999999,9.0,54.99,1399.99,7163.91,1.0,59.99,59.99,59.99,4.0,0.0,404.0,58.0,3.0,45.0,1.0,58.0,0.050012503,0.025006251,0.0,0.0,0,1,0,1,0,0,0,0,0
193.0,6.0,5.0,181.215,6.0,9.99,49.99,164.94,6.0,9.99,49.99,164.94,5.0,5000.0,569.0,52.0,67.0,55.0,2.0,12.0,0.34387237,0.33444816,2.9999998,0.0,0,1,0,1,0,0,0,0,1
214.0,7.0,5.0,771.426,11.0,39.95,349.99,469.84,2.0,39.95,349.99,389.94,5.0,8500.0,544.0,61.0,51.0,60.0,2.0,10.0,0.07431969,0.050025012,15.000002,0.0,0,1,0,1,0,0,0,0,1
216.0,7.0,5.0,793.9789999999999,36.0,7.99,79.9,677.0,1.0,12.99,12.99,12.99,1.0,3000.0,543.0,229.0,35.0,43.0,2.0,37.0,0.10537408,0.10537408,2.0,2.0,0,1,0,0,1,0,0,0,0
217.0,7.0,5.0,690.423,29.0,9.99,79.99,969.71,5.0,14.99,49.99,214.95,5.0,4000.0,532.0,220.0,7.0,51.0,2.0,32.0,0.014195755,0.013338373,150.01,100.009995,0,1,0,1,0,0,0,0,1
220.0,7.0,5.0,119.054,2.0,13.9,13.9,27.8,1.0,13.9,13.9,13.9,1.0,600.0,521.0,26.0,10.0,31.0,1.0,18.0,0.026196089,0.016669445,40.0,0.0,0,1,0,1,0,0,0,0,0
221.0,7.0,5.0,609.809,8.0,40.99,89.99,362.93,1.0,40.99,40.99,40.99,5.0,1000.0,373.0,12.0,0.0,27.0,1.0,55.0,0.055586435,0.05558644,2.0,2.0,0,1,0,1,0,0,0,0,1
222.0,7.0,5.0,40.736,1.0,199.99,199.99,199.99,1.0,199.99,199.99,199.99,1.0,4000.0,573.0,171.0,7.0,39.0,2.0,20.0,0.026091494,0.017394328,24.999996,24.999996,0,1,0,0,1,0,0,0,0
224.0,7.0,5.0,620.734,12.0,349.99,469.99,4669.88,3.0,349.99,399.99,1149.97,1.0,1200.0,523.0,223.0,2.0,38.0,2.0,365.0,0.00500025,0.00500025,0.0,0.0,0,1,0,1,0,0,0,0,0
226.0,7.0,5.0,18.404,1.0,14.99,14.99,14.99,1.0,14.99,14.99,14.99,1.0,600.0,603.0,85.0,15.0,44.0,1.0,26.0,0.0065103224,0.006593841,300.0,270.0,0,1,0,0,1,0,0,0,0
232.0,7.0,5.0,4528.807,57.0,3.99,79.99,957.32,12.0,3.99,34.99,205.38,3.0,4100.0,513.0,232.0,24.0,42.0,2.0,19.0,0.083402835,0.0769823,5.0,0.0,0,0,0,1,0,0,0,0,0
241.0,7.0,5.0,6794.409000000001,111.0,9.99,134.95,5529.83,3.0,9.99,99.95,189.89,1.0,4000.0,553.0,108.0,15.0,48.0,2.0,24.0,0.020004,0.020004,0.0,0.0,0,1,0,1,0,0,0,0,0
244.0,7.0,5.0,3342.173,49.0,0.0,40.0,239.92,5.0,3.0,3.0,3.0,1.0,5000.0,555.0,317.0,33.0,50.0,2.0,10.0,0.07196492,0.07237154,2.0,2.0,0,1,0,0,1,0,0,0,0
252.0,7.0,5.0,3421.1540000000005,42.0,5.99,159.99,1461.58,4.0,12.99,79.99,130.96,5.0,300.0,429.0,77.0,0.0,25.0,2.0,19.0,0.025006251,0.025006251,0.0,0.0,0,1,0,1,0,0,0,0,1
254.0,7.0,5.0,147.906,5.0,79.82,199.99,639.44,2.0,79.82,199.99,279.81,5.0,300.0,341.0,3.0,1.0,36.0,2.0,10.0,0.02002002,0.02002002,0.0,0.0,0,1,0,1,0,0,0,0,1
255.0,7.0,5.0,899.762,20.0,3.99,99.99,662.81,4.0,3.99,19.99,60.96,5.0,9500.0,585.0,134.0,21.0,49.0,1.0,26.0,0.0069106887,0.0062199477,792.0,760.0,0,1,0,1,0,0,0,0,1
256.0,7.0,5.0,498.759,15.0,599.0,699.0,9352.0,1.0,699.0,699.0,699.0,5.0,500.0,399.0,2.0,1.0,27.0,1.0,23.0,0.10003334,0.033344448,0.0,0.0,0,1,0,1,0,0,0,0,1
261.0,7.0,5.0,243.266,2.0,29.99,29.99,59.98,1.0,29.99,29.99,29.99,1.0,3500.0,548.0,341.0,5.0,76.0,1.0,124.0,0.31289113,0.37546936,1.9899998,1.9899998,0,1,0,1,0,0,0,0,0
262.0,7.0,5.0,423.77099999999996,7.0,249.99,299.99,1849.93,1.0,249.99,249.99,249.99,1.0,300.0,412.0,1.0,0.0,26.0,2.0,45.0,0.07333446,0.0769823,7.0,0.0,0,1,1,0,0,0,0,0,0
264.0,7.0,5.0,732.87,38.0,1.0,34.97,253.86,7.0,3.0,34.97,57.95,1.0,1500.0,600.0,129.0,26.0,37.0,2.0,10.0,0.0368317,0.03384604,46.0,46.0,0,1,0,0,0,0,1,0,0
279.0,7.0,5.0,1283.4489999999998,48.0,4.99,85.99,593.93,4.0,5.99,9.99,29.96,5.0,3400.0,524.0,337.0,11.0,53.0,2.0,12.0,0.033906925,0.020004,32.0,0.0,0,1,0,1,0,0,0,0,1
281.0,7.0,5.0,1193.0230000000001,28.0,5.0,99.79,659.7,8.0,5.0,89.99,217.93,5.0,10500.0,566.0,67.0,234.0,38.0,2.0,10.0,0.061121974,0.05390552,24.99,17.5,0,1,0,1,0,0,0,0,1
291.0,7.0,5.0,2026.369,6.0,3.0,3.0,18.0,1.0,3.0,3.0,3.0,1.0,5000.0,555.0,317.0,33.0,50.0,2.0,10.0,0.031165909,0.026673779,37.0,25.000002,0,1,0,0,1,0,0,0,0
298.0,7.0,5.0,179.153,5.0,12.99,49.99,100.96,5.0,12.99,49.99,100.96,5.0,1600.0,523.0,168.0,37.0,40.0,2.0,13.0,0.13303159,0.19706374,21.0,21.0,0,1,0,1,0,0,0,0,1
