,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,cInterval,bInterval,new_user,onlineStatus_ n,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not determinable,availability_ mainly not orderable,availability_ mainly orderable,availability_ mixed,order_ y
0,1,6,5,39.887,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,600.0,70.0,21.0,1.0,43.0,1.0,49.0,0.016669444907484583,0.016669444907484583,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
1,2,6,5,94.469,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
2,3,6,5,341.61300000000006,11,9.99,29.99,109.95,2,9.99,29.99,39.98,1.0,1800.0,475.0,302.0,12.0,45.0,1.0,11.0,0.10004341506691583,0.04739086935917014,20.0,20.0,0,0,1,0,1,0,0,0,0,0,1
3,4,6,5,42.812,4,4.99,4.99,19.96,1,4.99,4.99,4.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.2004008016032064,0.2004008016032064,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0
4,5,6,5,2816.046,45,12.99,179.95,1093.72,4,19.99,27.85,103.54,1.0,800.0,503.0,18.0,1.0,46.0,1.0,40.0,0.04349453283837229,0.037967289719626166,166.95999999999998,7.860000000000003,0,0,1,0,1,0,0,0,0,0,1
5,6,6,5,0.0,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.007905659134330324,0.007905659134330324,69.01,69.01,0,0,0,0,0,1,0,0,0,0,0
6,7,6,5,973.887,15,3.0,40.0,137.0,3,3.0,3.0,9.0,1.0,900.0,575.0,35.0,10.0,31.0,2.0,10.0,0.10492957746478873,0.3333333333333333,37.0,0.0,0,0,1,0,1,0,0,0,0,0,1
7,8,6,5,0.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,500.0,430.0,3.0,10.0,21.0,2.0,57.0,0.01666944490748458,0.01666944490748458,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
8,9,6,5,550.9680000000001,2,499.99,499.99,999.98,1,499.99,499.99,499.99,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.002000040000800016,0.002000040000800016,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
9,10,6,5,1106.575,19,5.0,24.99,246.11,2,12.0,19.99,31.99,1.0,4000.0,555.0,55.0,23.0,51.0,2.0,24.0,0.07798376519797241,0.06819731757217551,19.99,7.989999999999998,0,0,0,0,0,1,0,0,0,0,0
10,11,6,5,172.179,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
11,12,6,5,1540.895,21,5.99,59.99,456.77,11,5.99,59.99,258.38,5.0,2000.0,546.0,364.0,11.0,86.0,2.0,37.0,0.045555353087319596,0.044093013050687975,54.0,54.0,0,0,1,0,1,0,0,0,0,0,1
12,13,6,5,279.53700000000003,0,0.0,1.0,3.0,0,0.0,0.0,0.0,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
13,14,6,5,130.534,4,14.99,29.99,59.97,1,14.99,14.99,14.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0714660060031445,0.066711140760507,14.999999999999998,0.0,0,0,1,0,1,0,0,0,0,0,0
14,15,6,5,1208.612,4,199.99,1999.99,3098.97,1,199.99,199.99,199.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0012907514432214575,0.005000250012500625,1800.0,0.0,0,0,1,0,1,0,0,0,0,0,0
15,16,6,5,6826.536,154,79.99,2999.99,88427.55,4,199.99,299.99,1099.96,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0017335263553321157,0.0038299339123626023,2920.0,100.0,0,0,1,0,1,0,0,0,0,0,1
16,17,6,5,153.267,0,0.0,1.0,3.0,0,0.0,0.0,0.0,3.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
17,18,6,5,441.648,7,19.99,29.99,199.93,2,29.99,29.99,59.98,1.0,600.0,578.0,24.0,1.0,52.0,2.0,189.0,0.03445631272994031,0.03334444814938313,10.0,0.0,0,0,1,0,1,0,0,0,0,0,1
18,19,6,5,4714.4929999999995,162,0.8,34.99,1445.19,15,1.99,19.99,147.82,1.0,600.0,464.0,24.0,2.0,32.0,2.0,276.0,0.1392110886826579,0.1221390621077131,34.190000000000005,18.0,0,0,1,0,1,0,0,0,0,0,1
19,20,6,5,7647.51,11,49.99,499.99,2199.91,1,49.99,49.99,49.99,1.0,1400.0,568.0,136.0,11.0,58.0,2.0,61.0,0.005000204553822656,0.020004000800160033,450.0,0.0,0,0,1,0,0,1,0,0,0,0,0
20,21,6,5,152.401,3,14.99,14.99,44.97,1,14.99,14.99,14.99,5.0,2500.0,540.0,222.0,34.0,51.0,2.0,23.0,0.066711140760507,0.066711140760507,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
21,22,6,5,3784.495,81,9.99,119.95,2292.44,8,9.99,39.99,183.89,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.032416683824790696,0.04124945700382928,109.96000000000001,30.0,0,0,1,0,1,0,0,0,0,0,1
