,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerNo,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,order,cMedPrice,bMedPrice,cInterval,bInterval,new_user
11,12,6,5,1540.895,21,5.99,59.99,456.77,11,5.99,59.99,258.38,5.0,y,completely orderable,8,2000.0,546.0,364.0,11.0,86.0,2.0,37.0,y,21.75095238095238,23.48909090909091,54.0,54.0,0
19,20,6,5,7647.51,11,49.99,499.99,2199.91,1,49.99,49.99,49.99,1.0,y,desconhecida,11,1400.0,568.0,136.0,11.0,58.0,2.0,61.0,n,199.99181818181816,49.99,450.0,0.0,0
20,21,6,5,152.401,3,14.99,14.99,44.97,1,14.99,14.99,14.99,5.0,y,completely orderable,12,2500.0,540.0,222.0,34.0,51.0,2.0,23.0,y,14.99,14.99,0.0,0.0,0
27,28,6,5,660.6439999999999,23,14.99,33.99,617.77,3,24.99,29.99,84.97,5.0,y,completely orderable,15,600.0,427.0,141.0,8.0,31.0,2.0,109.0,y,26.859565217391303,28.323333333333334,19.0,5.0,0
31,32,6,5,454.355,5,139.99,139.99,699.95,1,139.99,139.99,139.99,5.0,y,completely orderable,18,500.0,499.0,2.0,1.0,53.0,2.0,22.0,y,139.99,139.99,0.0,0.0,0
36,37,6,5,420.19699999999995,11,5.0,24.99,146.92,11,5.0,24.99,146.92,1.0,y,completely orderable,20,4000.0,614.0,133.0,6.0,42.0,2.0,109.0,n,13.356363636363636,13.356363636363636,19.99,19.99,0
39,40,6,5,584.185,13,14.99,79.99,294.91,1,29.99,29.99,29.99,1.0,y,desconhecida,21,5000.0,535.0,220.0,14.0,68.0,1.0,12.0,n,22.685384615384617,29.99,65.0,0.0,0
46,47,6,5,24.326999999999998,1,12.99,12.99,12.99,1,12.99,12.99,12.99,1.0,y,desconhecida,25,600.0,512.0,36.0,7.0,35.0,2.0,59.0,n,12.99,12.99,0.0,0.0,0
57,58,6,5,2230.275,46,24.99,79.95,1643.53,6,24.99,71.96,261.91,1.0,y,desconhecida,28,200.0,70.0,92.0,1.0,43.0,2.0,493.0,n,35.72891304347826,43.65166666666667,54.96000000000001,46.97,0
67,68,6,5,599.78,12,49.95,120.0,899.74,2,49.95,89.99,139.94,1.0,y,completely orderable,33,600.0,422.0,60.0,0.0,33.0,2.0,72.0,n,74.97833333333334,69.97,70.05,40.03999999999999,0
68,69,6,5,397.89599999999996,10,19.99,19.99,159.92,2,19.99,19.99,39.98,5.0,y,completely orderable,34,1400.0,520.0,209.0,2.0,44.0,2.0,220.0,y,15.991999999999999,19.99,0.0,0.0,0
75,76,6,5,4047.27,36,2.99,5.99,104.69,4,2.99,2.99,11.96,5.0,y,completely orderable,37,900.0,493.0,174.0,13.0,35.0,2.0,10.0,y,2.9080555555555554,2.99,3.0,0.0,0
86,87,6,5,55.09,4,7.99,9.99,37.96,4,7.99,9.99,37.96,2.0,y,completely orderable,40,600.0,426.0,35.0,13.0,25.0,2.0,19.0,n,9.49,9.49,2.0,2.0,0
89,90,6,5,4093.928,70,29.99,180.0,4928.13,6,49.99,150.0,449.83,5.0,y,completely orderable,41,3200.0,518.0,250.0,36.0,59.0,2.0,38.0,y,70.40185714285714,74.97166666666666,150.01,100.00999999999999,0
98,99,6,5,261.047,6,16.99,18.99,107.94,2,16.99,18.99,35.98,1.0,y,desconhecida,43,2300.0,527.0,51.0,15.0,29.0,2.0,11.0,n,17.99,17.99,2.0,2.0,0
113,114,6,5,18.583,1,199.99,199.99,199.99,1,199.99,199.99,199.99,1.0,y,desconhecida,48,600.0,501.0,15.0,6.0,50.0,1.0,40.0,n,199.99,199.99,0.0,0.0,0
133,134,6,5,320.127,5,12.99,14.99,68.95,3,12.99,14.99,40.97,5.0,y,completely orderable,53,1300.0,522.0,223.0,12.0,56.0,2.0,34.0,y,13.790000000000001,13.656666666666666,2.0,2.0,0
137,138,6,5,949.557,3,39.99,39.99,119.97,1,39.99,39.99,39.99,5.0,y,completely orderable,55,5500.0,542.0,143.0,11.0,62.0,1.0,22.0,y,39.99,39.99,0.0,0.0,0
139,140,6,5,55.728,2,49.95,49.95,99.9,2,49.95,49.95,99.9,1.0,y,desconhecida,57,1000.0,614.0,14.0,8.0,44.0,2.0,11.0,n,49.95,49.95,0.0,0.0,0
144,145,6,5,2151.525,25,7.99,799.99,3707.78,6,39.99,799.99,894.97,5.0,y,completely orderable,58,2300.0,472.0,142.0,16.0,29.0,1.0,23.0,n,148.3112,149.16166666666666,792.0,760.0,0
150,151,6,5,281.455,6,29.99,29.99,59.98,1,29.99,29.99,29.99,5.0,y,completely orderable,60,3000.0,583.0,175.0,12.0,44.0,2.0,24.0,y,9.996666666666666,29.99,0.0,0.0,0
156,157,6,5,815.32,22,12.99,19.99,306.78,3,12.99,12.99,38.97,5.0,y,completely orderable,63,2600.0,496.0,66.0,15.0,32.0,1.0,34.0,y,13.944545454545453,12.99,6.999999999999998,0.0,0
157,158,6,5,128.6,4,3.99,49.99,103.97,2,3.99,49.99,53.98,5.0,y,completely orderable,64,2900.0,498.0,174.0,15.0,41.0,2.0,11.0,y,25.9925,26.99,46.0,46.0,0
158,159,6,5,111.351,4,17.99,49.99,117.97,1,49.99,49.99,49.99,3.0,y,completely orderable,65,500.0,559.0,100.0,9.0,38.0,1.0,13.0,n,29.4925,49.99,32.0,0.0,0
160,161,6,5,905.1419999999999,54,5.0,29.99,895.29,9,12.49,29.99,162.91,5.0,y,completely orderable,66,3500.0,533.0,228.0,13.0,39.0,2.0,34.0,y,16.579444444444444,18.10111111111111,24.99,17.5,0
177,178,6,5,1375.4389999999999,9,54.99,1399.99,7163.91,1,59.99,59.99,59.99,4.0,y,completely orderable,73,0.0,404.0,58.0,3.0,45.0,1.0,58.0,n,795.99,59.99,1345.0,0.0,0
192,193,6,5,181.215,6,9.99,49.99,164.94,6,9.99,49.99,164.94,5.0,y,completely orderable,80,5000.0,569.0,52.0,67.0,55.0,2.0,12.0,y,27.49,27.49,40.0,40.0,0
213,214,7,5,771.426,11,39.95,349.99,469.84,2,39.95,349.99,389.94,5.0,y,completely orderable,84,8500.0,544.0,61.0,51.0,60.0,2.0,10.0,y,42.71272727272727,194.97,310.04,310.04,0
215,216,7,5,793.9789999999999,36,7.99,79.9,677.0,1,12.99,12.99,12.99,1.0,y,desconhecida,85,3000.0,543.0,229.0,35.0,43.0,2.0,37.0,n,18.805555555555557,12.99,71.91000000000001,0.0,0
216,217,7,5,690.423,29,9.99,79.99,969.71,5,14.99,49.99,214.95,5.0,y,completely orderable,86,4000.0,532.0,220.0,7.0,51.0,2.0,32.0,y,33.43827586206897,42.989999999999995,70.0,35.0,0
219,220,7,5,119.054,2,13.9,13.9,27.8,1,13.9,13.9,13.9,1.0,y,completely orderable,88,600.0,521.0,26.0,10.0,31.0,1.0,18.0,n,13.9,13.9,0.0,0.0,0
220,221,7,5,609.809,8,40.99,89.99,362.93,1,40.99,40.99,40.99,5.0,y,completely orderable,89,1000.0,373.0,12.0,0.0,27.0,1.0,55.0,y,45.36625,40.99,48.99999999999999,0.0,0
221,222,7,5,40.736,1,199.99,199.99,199.99,1,199.99,199.99,199.99,1.0,y,desconhecida,90,4000.0,573.0,171.0,7.0,39.0,2.0,20.0,n,199.99,199.99,0.0,0.0,0
223,224,7,5,620.734,12,349.99,469.99,4669.88,3,349.99,399.99,1149.97,1.0,y,completely orderable,92,1200.0,523.0,223.0,2.0,38.0,2.0,365.0,n,389.1566666666667,383.3233333333333,120.0,50.0,0
225,226,7,5,18.404,1,14.99,14.99,14.99,1,14.99,14.99,14.99,1.0,y,desconhecida,93,600.0,603.0,85.0,15.0,44.0,1.0,26.0,n,14.99,14.99,0.0,0.0,0
231,232,7,5,4528.807,57,3.99,79.99,957.32,12,3.99,34.99,205.38,3.0,n,completely orderable,94,4100.0,513.0,232.0,24.0,42.0,2.0,19.0,n,16.795087719298248,17.115,76.0,31.0,0
240,241,7,5,6794.409000000001,111,9.99,134.95,5529.83,3,9.99,99.95,189.89,1.0,y,completely orderable,97,4000.0,553.0,108.0,15.0,48.0,2.0,24.0,n,49.81828828828829,63.29666666666666,124.96,89.96000000000001,0
243,244,7,5,3342.173,49,0.0,40.0,239.92,5,3.0,3.0,3.0,1.0,y,desconhecida,99,5000.0,555.0,317.0,33.0,50.0,2.0,10.0,n,4.896326530612245,0.6,40.0,0.0,0
251,252,7,5,3421.1540000000005,42,5.99,159.99,1461.58,4,12.99,79.99,130.96,5.0,y,completely orderable,100,300.0,429.0,77.0,0.0,25.0,2.0,19.0,y,34.799523809523805,32.74,154.0,67.0,0
253,254,7,5,147.906,5,79.82,199.99,639.44,2,79.82,199.99,279.81,5.0,y,completely orderable,101,300.0,341.0,3.0,1.0,36.0,2.0,10.0,y,127.888,139.905,120.17000000000002,120.17000000000002,0
254,255,7,5,899.762,20,3.99,99.99,662.81,4,3.99,19.99,60.96,5.0,y,completely orderable,102,9500.0,585.0,134.0,21.0,49.0,1.0,26.0,y,33.140499999999996,15.24,96.0,15.999999999999998,0
255,256,7,5,498.759,15,599.0,699.0,9352.0,1,699.0,699.0,699.0,5.0,y,completely orderable,103,500.0,399.0,2.0,1.0,27.0,1.0,23.0,y,623.4666666666667,699.0,100.0,0.0,0
260,261,7,5,243.266,2,29.99,29.99,59.98,1,29.99,29.99,29.99,1.0,y,completely orderable,105,3500.0,548.0,341.0,5.0,76.0,1.0,124.0,n,29.99,29.99,0.0,0.0,0
261,262,7,5,423.77099999999996,7,249.99,299.99,1849.93,1,249.99,249.99,249.99,1.0,y,completely not orderable,106,300.0,412.0,1.0,0.0,26.0,2.0,45.0,n,264.2757142857143,249.99,50.0,0.0,0
263,264,7,5,732.87,38,1.0,34.97,253.86,7,3.0,34.97,57.95,1.0,y,mainly orderable,107,1500.0,600.0,129.0,26.0,37.0,2.0,10.0,n,6.680526315789474,8.278571428571428,33.97,31.97,0
278,279,7,5,1283.4489999999998,48,4.99,85.99,593.93,4,5.99,9.99,29.96,5.0,y,completely orderable,116,3400.0,524.0,337.0,11.0,53.0,2.0,12.0,y,12.373541666666666,7.49,81.0,4.0,0
280,281,7,5,1193.0230000000001,28,5.0,99.79,659.7,8,5.0,89.99,217.93,5.0,y,completely orderable,117,10500.0,566.0,67.0,234.0,38.0,2.0,10.0,y,23.560714285714287,27.24125,94.79,84.99,0
290,291,7,5,2026.369,6,3.0,3.0,18.0,1,3.0,3.0,3.0,1.0,y,desconhecida,99,5000.0,555.0,317.0,33.0,50.0,2.0,10.0,n,3.0,3.0,0.0,0.0,0
297,298,7,5,179.153,5,12.99,49.99,100.96,5,12.99,49.99,100.96,5.0,y,completely orderable,124,1600.0,523.0,168.0,37.0,40.0,2.0,13.0,y,20.192,20.192,37.0,37.0,0
299,300,7,5,1645.214,87,7.0,39.99,1406.6,10,7.0,19.99,145.88,1.0,y,mainly orderable,126,800.0,464.0,108.0,17.0,36.0,2.0,15.0,n,16.167816091954023,14.588,32.99,12.989999999999998,0
300,301,7,5,3438.421,30,7.99,39.99,614.62,3,14.99,34.99,69.97,1.0,y,completely orderable,127,2300.0,552.0,317.0,2.0,51.0,2.0,207.0,n,20.487333333333332,23.323333333333334,32.0,20.0,0
305,306,7,5,1734.1170000000002,19,9.99,189.95,869.77,4,9.99,149.99,189.96,5.0,y,completely orderable,128,2500.0,463.0,418.0,9.0,43.0,1.0,11.0,y,45.77736842105263,47.49,179.95999999999998,140.0,0
307,308,7,5,62.852,2,999.99,999.99,1999.98,1,999.99,999.99,999.99,5.0,y,completely orderable,130,500.0,523.0,2.0,0.0,30.0,1.0,38.0,y,999.99,999.99,0.0,0.0,0
316,317,7,5,584.099,17,9.99,15.99,81.93,2,9.99,9.99,19.98,2.0,y,completely orderable,134,2600.0,502.0,218.0,18.0,46.0,2.0,18.0,n,4.819411764705883,9.99,6.0,0.0,0
317,318,7,5,30.215,1,1799.99,1799.99,1799.99,1,1799.99,1799.99,1799.99,1.0,y,desconhecida,135,6000.0,515.0,242.0,28.0,37.0,1.0,16.0,n,1799.99,1799.99,0.0,0.0,0
324,325,7,5,2379.826,79,3.0,44.99,1604.4,3,9.99,39.99,74.97,5.0,y,completely orderable,137,2500.0,494.0,219.0,6.0,46.0,2.0,37.0,y,20.308860759493673,24.99,41.99,30.0,0
326,327,7,5,48.229,2,159.99,159.99,319.98,1,159.99,159.99,159.99,1.0,y,completely orderable,138,1000.0,553.0,13.0,6.0,49.0,2.0,32.0,n,159.99,159.99,0.0,0.0,0
330,331,7,5,654.195,11,11.99,34.99,255.89,2,11.99,34.99,46.98,5.0,y,completely orderable,139,2900.0,550.0,57.0,17.0,52.0,2.0,53.0,y,23.262727272727272,23.49,23.0,23.0,0
332,333,7,5,1434.7820000000002,58,14.99,29.95,1468.91,7,17.99,29.95,181.69,5.0,y,completely orderable,140,1300.0,437.0,98.0,21.0,36.0,2.0,19.0,y,25.326034482758622,25.955714285714286,14.959999999999999,11.96,0
333,334,7,5,20.000999999999998,2,11.99,12.99,24.98,2,11.99,12.99,24.98,1.0,y,desconhecida,141,2000.0,553.0,139.0,11.0,46.0,2.0,14.0,n,12.49,12.49,1.0,1.0,0
335,336,7,5,248.868,4,44.99,44.99,179.96,1,44.99,44.99,44.99,1.0,y,completely not orderable,143,600.0,541.0,191.0,7.0,48.0,2.0,19.0,n,44.99,44.99,0.0,0.0,0
337,338,7,5,1129.472,51,44.99,379.99,10389.53,1,229.99,229.99,229.99,1.0,y,completely orderable,145,500.0,447.0,2.0,6.0,39.0,2.0,11.0,n,203.71627450980392,229.99,335.0,0.0,0
350,351,7,5,888.584,12,9.99,19.99,179.89,3,9.99,19.99,49.97,1.0,y,desconhecida,152,4000.0,597.0,152.0,10.0,42.0,2.0,181.0,n,14.990833333333333,16.656666666666666,9.999999999999998,9.999999999999998,0
351,352,7,5,478.134,21,39.9,169.95,2018.55,1,69.9,69.9,69.9,1.0,y,completely orderable,153,800.0,517.0,36.0,9.0,60.0,2.0,20.0,n,96.12142857142857,69.9,130.04999999999998,0.0,0
354,355,7,5,1670.9370000000001,19,19.99,99.95,849.75,1,59.99,59.99,59.99,5.0,y,completely orderable,155,1000.0,567.0,30.0,15.0,31.0,1.0,18.0,y,44.723684210526315,59.99,79.96000000000001,0.0,0
357,358,7,5,1814.3529999999998,46,12.99,59.99,1785.5,1,29.99,29.99,29.99,1.0,y,desconhecida,157,300.0,431.0,41.0,3.0,31.0,1.0,11.0,n,38.81521739130435,29.99,47.0,0.0,0
369,370,7,5,92.59,2,179.99,179.99,359.98,1,179.99,179.99,179.99,1.0,y,completely orderable,162,4000.0,518.0,339.0,11.0,45.0,2.0,12.0,n,179.99,179.99,0.0,0.0,0
370,371,7,5,1701.745,29,2.99,19.99,287.71,2,3.99,8.99,12.98,5.0,y,completely orderable,163,300.0,494.0,25.0,1.0,68.0,2.0,18.0,y,9.92103448275862,6.49,17.0,5.0,0
371,372,7,5,1999.2879999999998,24,1.0,59.99,213.95,3,1.0,59.99,63.99,1.0,y,completely orderable,164,3000.0,502.0,194.0,11.0,53.0,2.0,17.0,y,8.914583333333333,21.330000000000002,58.99,58.99,0
381,382,7,5,2695.5759999999996,36,29.99,1099.0,5233.17,2,29.99,49.99,79.98,5.0,y,completely orderable,169,3600.0,532.0,358.0,22.0,57.0,1.0,15.0,y,145.36583333333334,39.99,1069.01,20.000000000000004,0
388,389,7,5,1654.7939999999999,66,9.99,24.99,901.41,2,12.0,14.99,26.99,5.0,y,completely orderable,172,1500.0,475.0,37.0,12.0,52.0,1.0,21.0,y,13.657727272727271,13.495,14.999999999999998,2.99,0
390,391,7,5,133.214,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5.0,y,completely orderable,174,1200.0,481.0,157.0,11.0,43.0,2.0,19.0,y,59.99,59.99,0.0,0.0,0
394,395,7,5,87.58200000000001,2,39.99,39.99,79.98,1,39.99,39.99,39.99,5.0,y,completely orderable,177,300.0,403.0,3.0,0.0,30.0,2.0,122.0,y,39.99,39.99,0.0,0.0,0
395,396,7,5,1753.904,21,44.99,299.99,764.91,5,59.99,59.99,299.95,1.0,y,completely orderable,178,2700.0,508.0,117.0,8.0,52.0,2.0,104.0,y,36.424285714285716,59.989999999999995,255.0,0.0,0
396,397,7,5,179.864,2,69.99,79.99,149.98,2,69.99,79.99,149.98,5.0,y,completely orderable,179,3000.0,541.0,196.0,10.0,67.0,1.0,12.0,y,74.99,74.99,10.0,10.0,0
400,401,7,5,157.047,7,12.0,17.99,95.98,2,12.0,17.99,29.99,2.0,y,completely orderable,181,900.0,549.0,14.0,22.0,27.0,2.0,18.0,n,13.711428571428572,14.995,5.989999999999998,5.989999999999998,0
402,403,7,5,1058.275,9,69.99,69.99,489.93,3,69.99,69.99,209.97,1.0,y,desconhecida,182,600.0,438.0,215.0,22.0,26.0,1.0,53.0,n,54.43666666666667,69.99,0.0,0.0,0
408,409,7,5,2402.272,51,4.99,39.99,961.54,4,18.99,19.32,76.62,2.0,y,completely orderable,183,2700.0,557.0,217.0,5.0,44.0,2.0,11.0,n,18.853725490196076,19.155,35.0,0.33000000000000185,0
410,411,7,5,247.297,1,309.99,309.99,309.99,1,309.99,309.99,309.99,1.0,y,completely orderable,184,500.0,444.0,48.0,10.0,41.0,2.0,167.0,n,309.99,309.99,0.0,0.0,0
413,414,7,5,322.524,4,14.99,14.99,59.96,1,14.99,14.99,14.99,5.0,y,completely orderable,186,1300.0,513.0,208.0,11.0,48.0,2.0,51.0,y,14.99,14.99,0.0,0.0,0
425,426,7,5,6267.589,11,149.99,349.99,2779.89,1,199.99,199.99,199.99,5.0,y,completely orderable,190,4000.0,551.0,182.0,13.0,48.0,1.0,106.0,y,252.71727272727273,199.99,200.0,0.0,0
430,431,7,5,1228.803,17,6.0,89.95,523.85,1,24.99,24.99,24.99,5.0,y,completely orderable,193,1600.0,518.0,55.0,20.0,33.0,1.0,36.0,y,30.814705882352943,24.99,83.95,0.0,0
433,434,7,5,565.265,2,299.99,299.99,599.98,1,299.99,299.99,299.99,5.0,y,completely orderable,195,8500.0,572.0,296.0,31.0,62.0,2.0,17.0,y,299.99,299.99,0.0,0.0,0
439,440,7,5,389.096,2,45.0,45.0,90.0,1,45.0,45.0,45.0,2.0,y,completely orderable,198,600.0,566.0,109.0,6.0,41.0,2.0,470.0,n,45.0,45.0,0.0,0.0,0
