,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,customerNo,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,order,cMedPrice,bMedPrice,cInterval,bInterval,new_user
0,1,6,5,39.887,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,y,completely orderable,1,600.0,70.0,21.0,1.0,43.0,1.0,49.0,y,59.99,59.99,0.0,0.0,0
1,2,6,5,94.469,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,y,0.0,0.0,0.0,0.0,0
2,3,6,5,341.61300000000006,11,9.99,29.99,109.95,2,9.99,29.99,39.98,1.0,y,completely orderable,3,1800.0,475.0,302.0,12.0,45.0,1.0,11.0,y,9.995454545454546,19.99,20.0,20.0,0
3,4,6,5,42.812,4,4.99,4.99,19.96,1,4.99,4.99,4.99,1.0,y,completely not orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,n,4.99,4.99,0.0,0.0,0
4,5,6,5,2816.046,45,12.99,179.95,1093.72,4,19.99,27.85,103.54,1.0,y,completely orderable,4,800.0,503.0,18.0,1.0,46.0,1.0,40.0,y,24.30488888888889,25.885,166.95999999999998,7.860000000000003,0
5,6,6,5,0.0,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,desconhecida,desconhecida,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,n,132.99333333333334,132.99333333333334,69.01,69.01,0
6,7,6,5,973.887,15,3.0,40.0,137.0,3,3.0,3.0,9.0,1.0,y,completely orderable,5,900.0,575.0,35.0,10.0,31.0,2.0,10.0,y,9.133333333333333,3.0,37.0,0.0,0
7,8,6,5,0.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,desconhecida,desconhecida,6,500.0,430.0,3.0,10.0,21.0,2.0,57.0,n,59.99,59.99,0.0,0.0,0
8,9,6,5,550.9680000000001,2,499.99,499.99,999.98,1,499.99,499.99,499.99,5.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,y,499.99,499.99,0.0,0.0,0
9,10,6,5,1106.575,19,5.0,24.99,246.11,2,12.0,19.99,31.99,1.0,desconhecida,desconhecida,7,4000.0,555.0,55.0,23.0,51.0,2.0,24.0,n,12.953157894736842,15.995,19.99,7.989999999999998,0
10,11,6,5,172.179,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,y,0.0,0.0,0.0,0.0,0
11,12,6,5,1540.895,21,5.99,59.99,456.77,11,5.99,59.99,258.38,5.0,y,completely orderable,8,2000.0,546.0,364.0,11.0,86.0,2.0,37.0,y,21.75095238095238,23.48909090909091,54.0,54.0,0
12,13,6,5,279.53700000000003,0,0.0,1.0,3.0,0,0.0,0.0,0.0,5.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,y,0.0,0.0,0.0,0.0,0
13,14,6,5,130.534,4,14.99,29.99,59.97,1,14.99,14.99,14.99,1.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,n,14.9925,14.99,14.999999999999998,0.0,0
14,15,6,5,1208.612,4,199.99,1999.99,3098.97,1,199.99,199.99,199.99,2.0,y,completely orderable,,0.0,70.0,0.0,0.0,19.0,1.0,10.0,n,774.7425,199.99,1800.0,0.0,0
