sessionNo|startHour|startWeekday|duration|cCount|cMinPrice|cMaxPrice|cSumPrice|bCount|bMinPrice|bMaxPrice|bSumPrice|bStep|onlineStatus|availability|customerNo|maxVal|customerScore|accountLifetime|payments|age|address|lastOrder
1|18|7|136.833|3|39.99|39.99|79.98|1|39.99|39.99|39.99|2|y|completely orderable|25039|1300|489|188|5|49|1|65
1|18|7|189.984|3|39.99|39.99|79.98|1|39.99|39.99|39.99|?|y|completely orderable|25039|1300|489|188|5|49|1|65
1|18|7|342.894|6|16.99|39.99|113.96|2|16.99|39.99|56.98|?|?|?|25039|1300|489|188|5|49|1|65
1|18|7|411.051|8|16.99|39.99|149.94|3|16.99|39.99|74.97|?|?|?|25039|1300|489|188|5|49|1|65
1|18|7|460.049|10|16.99|39.99|189.92|4|16.99|39.99|94.96|?|?|?|25039|1300|489|188|5|49|1|65
1|18|7|471.502|10|16.99|39.99|189.92|4|16.99|39.99|94.96|1|y|completely orderable|25039|1300|489|188|5|49|1|65
1|18|7|560.026|11|16.99|39.99|207.91|5|16.99|39.99|112.95|?|?|?|25039|1300|489|188|5|49|1|65
1|18|7|564.597|11|16.99|39.99|207.91|5|16.99|39.99|112.95|1|y|completely orderable|25039|1300|489|188|5|49|1|65
1|18|7|624.606|11|16.99|39.99|207.91|5|16.99|39.99|112.95|?|y|completely orderable|25039|1300|489|188|5|49|1|65
2|18|7|133.321|7|34.99|34.99|69.98|1|34.99|34.99|34.99|?|?|?|25040|1200|543|43|5|29|2|184
2|18|7|143.903|7|34.99|34.99|69.98|1|34.99|34.99|34.99|2|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|155.773|7|34.99|34.99|69.98|1|34.99|34.99|34.99|?|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|301.218|7|34.99|34.99|69.98|1|34.99|34.99|34.99|4|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|684.166|7|34.99|34.99|69.98|1|34.99|34.99|34.99|?|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|703.496|7|34.99|34.99|69.98|1|34.99|34.99|34.99|4|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|763.363|7|34.99|34.99|69.98|1|34.99|34.99|34.99|?|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|2773.381|16|34.99|34.99|174.95|2|34.99|34.99|69.98|?|?|?|25040|1200|543|43|5|29|2|184
2|18|7|2785.479|16|34.99|34.99|174.95|2|34.99|34.99|69.98|?|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|2797.284|16|34.99|34.99|174.95|2|34.99|34.99|69.98|4|y|completely orderable|25040|1200|543|43|5|29|2|184
2|18|7|2804.705|16|34.99|34.99|174.95|2|34.99|34.99|69.98|?|y|completely orderable|25040|1200|543|43|5|29|2|184
3|18|7|207.163|3|17.99|17.99|53.97|1|17.99|17.99|17.99|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|461.02|7|17.99|22.99|137.93|2|17.99|22.99|40.98|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|1438.629|24|7.99|39.95|583.4|3|17.99|39.95|80.93|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|1470.406|27|7.99|39.95|703.25|4|17.99|39.95|120.88|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|2290.191|44|7.99|39.99|1177.62|5|17.99|39.95|150.83|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|2457.046|47|7.99|39.99|1282.59|6|17.99|39.95|185.82|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|4210.401|62|7.99|39.99|1797.3|7|17.99|39.95|224.98|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|4354.861|67|7.99|39.99|1997.05|8|17.99|39.95|264.93|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|4533.208|76|7.99|39.99|2131.96|9|14.99|39.95|279.92|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|4619.422|78|7.99|39.99|2161.94|10|14.99|39.95|294.91|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|4642.525|78|7.99|39.99|2161.94|10|14.99|39.95|294.91|2|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|4656.803|78|7.99|39.99|2161.94|10|14.99|39.95|294.91|1|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|4712.342|78|7.99|39.99|2161.94|10|14.99|39.95|294.91|1|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|6038.229|108|7.99|59.95|2891.28|11|12.49|39.95|307.4|?|?|?|25041|600|552|17|4|37|2|107
3|18|7|6125.458|108|7.99|59.95|2891.28|11|12.49|39.95|307.4|2|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|6187.331|108|7.99|59.95|2891.28|11|12.49|39.95|307.4|2|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|6268.743|108|7.99|59.95|2891.28|11|12.49|39.95|307.4|1|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|6819.799|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|?|?|?|25041|600|552|17|4|37|2|107
